1103  5.5  3.0  2.5  4.0  1  1  0  0  0   0
1104  6.0  3.0  1.5  2.5  1  1  0  0  0   0
1105  4.0  3.0  1.0  999  1  1  2  1  0   1
1106  3.0  1.0  1.5  1.0  1  1  0  0  0   0
1107  5.0  5.0  5.0  5.5  0  1  0  0  0   0
1108  6.0  6.0  3.5  4.5  1  1  0  0  0   0
1109  4.0  2.0  2.0  2.5  1  1  0  0  0   0
1110  4.0  4.5  4.0  3.5  1  1  0  0  0   0
1111  5.5  5.5  5.5  2.5  1  1  0  0  0   0
1112  4.5  999  3.0  4.0  0  1  0  0  0   0
1113  4.0  2.5  4.5  3.0  1  1  0  0  0   0
1114  6.5  6.0  5.5  3.0  1  1  0  0  0   0
1115  5.5  4.5  5.5  4.5  0  1  0  0  0   0
1118  6.0  6.5  999  999  1  1  1  1  1 999
1119  999  5.5  3.5  1.0  1  1  0  0  0   0
1124  5.0  5.0  4.0  4.5  0  1  0  0  0   0
1125  7.0  999  2.0  2.0  0  1  0  0  0   0
1129  6.0  4.5  3.5  2.0  0  1  0  0  0   0
1136  5.0  5.5  4.5  999  0  1  2  1  0   1
1140  5.5  6.0  6.0  6.5  0  1  0  0  0   0
1301  5.0  2.5  2.5  3.5  0  0  0  0  0   0
1302  5.0  2.5  1.5  1.0  1  0  0  0  0   0
1303  5.5  4.5  1.5  999  1  0  2  1  0   1
1304  6.0  6.5  6.5  999  1  0  2  1  0   1
1305  5.5  5.5  999  999  1  0  1  1  1 999
1306  4.5  5.0  1.5  2.5  0  0  0  0  0   0
1307  6.5  6.5  6.0  3.0  1  0  0  0  0   0
1308  6.0  6.0  5.0  4.5  1  0  0  0  0   0
1309  6.0  6.0  3.5  999  0  0  2  1  0   1
1311  5.0  2.0  1.0  1.0  1  0  0  0  0   0
1312  4.0  1.5  1.0  999  1  0  2  1  0   1
1313  6.5  6.0  6.0  6.0  0  0  0  0  0   0
1314  6.0  6.0  5.5  6.5  1  0  0  0  0   0
1315  6.0  4.5  3.5  2.0  1  0  0  0  0   0
1316  4.5  4.0  4.5  4.0  1  0  0  0  0   0
1317  6.0  5.5  6.0  5.0  0  0  0  0  0   0
1318  3.5  4.5  3.5  2.0  1  0  0  0  0   0
1321  6.5  4.5  4.5  3.0  1  0  0  0  0   0
1329  6.0  5.0  4.5  2.0  1  0  0  0  0   0
2102  4.0  4.5  999  1.0  1  1  0  0  0   0
2103  7.0  2.0  999  999  1  1  1  1  1 999
2104  6.0  5.5  2.0  999  1  1  2  1  0   1
2105  4.5  3.5  5.0  4.0  1  1  0  0  0   0
2106  6.0  5.5  999  999  0  1  1  1  1 999
2107  7.0  6.0  4.5  4.5  1  1  0  0  0   0
2108  6.5  6.0  5.0  2.0  1  1  0  0  0   0
2109  6.5  6.0  4.5  5.0  0  1  0  0  0   0
2110  7.0  2.0  1.0  999  1  1  2  1  0   1
2111  6.0  4.0  2.5  1.5  1  1  0  0  0   0
2112  2.0  2.0  4.0  4.0  1  1  0  0  0   0
2113  5.0  6.0  999  999  1  1  1  1  1 999
2115  4.5  2.5  999  999  0  1  1  1  1 999
2116  7.0  7.0  5.5  4.0  1  1  0  0  0   0
2117  5.5  3.5  1.0  1.0  1  1  0  0  0   0
