  1   1   0   0 1.978867
  1   2   0   0 1.978867
  1   3   1   0 1.978867
  2   1   0   1 -.545492
  2   2   0   1 -.545492
  2   3   0   1 -.545492
  2   4   0   1 -.545492
  2   5   0   1 -.545492
  2   6   0   1 -.545492
  3   1   0   0 -1.40498
  3   2   0   0 -1.40498
  3   3   0   0 -1.40498
  3   4   0   0 -1.40498
  3   5   0   0 -1.40498
  3   6   0   0 -1.40498
  5   1   0   1  .974181
  5   2   0   1  .974181
  5   3   0   1  .974181
  5   4   0   1  .974181
  5   5   0   1  .974181
  5   6   1   1  .974181
  6   1   0   0 -.635631
  6   2   0   0 -.635631
  6   3   0   0 -.635631
  6   4   0   0 -.635631
  6   5   1   0 -.635631
  7   1   0   1 -.242886
  7   2   0   1 -.242886
  7   3   1   1 -.242886
  9   1   0   0 -.868500
  9   2   0   0 -.868500
  9   3   0   0 -.868500
  9   4   0   0 -.868500
  9   5   0   0 -.868500
  9   6   0   0 -.868500
 10   1   0   0  .453595
 10   2   0   0  .453595
 10   3   0   0  .453595
 10   4   0   0  .453595
 10   5   1   0  .453595
 11   1   0   1  .801764
 11   2   0   1  .801764
 11   3   0   1  .801764
 11   4   0   1  .801764
 11   5   0   1  .801764
 11   6   0   1  .801764
 12   1   0   1 -.745946
 12   2   0   1 -.745946
 12   3   0   1 -.745946
 12   4   0   1 -.745946
 12   5   1   1 -.745946
 13   1   0   0 -.900213
 13   2   0   0 -.900213
 13   3   0   0 -.900213
 13   4   0   0 -.900213
 13   5   0   0 -.900213
 13   6   0   0 -.900213
 14   1   0   1  .612794
 14   2   0   1  .612794
 14   3   0   1  .612794
 14   4   0   1  .612794
 14   5   1   1  .612794
 15   1   0   1 -1.42121
 15   2   0   1 -1.42121
 15   3   1   1 -1.42121
 16   1   0   1 1.201356
 16   2   0   1 1.201356
 16   3   0   1 1.201356
 16   4   0   1 1.201356
 16   5   0   1 1.201356
 16   6   1   1 1.201356
 17   1   0   1 1.723024
 17   2   0   1 1.723024
 17   3   0   1 1.723024
 17   4   1   1 1.723024
 18   1   0   1 -.835523
 18   2   0   1 -.835523
 18   3   0   1 -.835523
 18   4   0   1 -.835523
 18   5   0   1 -.835523
 18   6   1   1 -.835523
 19   1   1   0 -.738722
 20   1   0   0 -.189238
 20   2   0   0 -.189238
 20   3   0   0 -.189238
 20   4   0   0 -.189238
 20   5   0   0 -.189238
 20   6   0   0 -.189238
 21   1   0   1  .039811
 21   2   0   1  .039811
 21   3   0   1  .039811
 21   4   1   1  .039811
 22   1   0   1 -.649648
 22   2   0   1 -.649648
 22   3   0   1 -.649648
 22   4   0   1 -.649648
 22   5   0   1 -.649648
 22   6   1   1 -.649648
 23   1   0   1  .631593
 23   2   0   1  .631593
 23   3   0   1  .631593
 23   4   0   1  .631593
 23   5   1   1  .631593
 24   1   0   0 -1.00721
 24   2   0   0 -1.00721
 24   3   0   0 -1.00721
 24   4   0   0 -1.00721
 24   5   0   0 -1.00721
 24   6   0   0 -1.00721
 25   1   0   0 -1.16953
 25   2   0   0 -1.16953
 25   3   0   0 -1.16953
 25   4   0   0 -1.16953
 25   5   1   0 -1.16953
 26   1   0   0  .371279
 26   2   0   0  .371279
 26   3   0   0  .371279
 26   4   0   0  .371279
 26   5   0   0  .371279
 26   6   0   0  .371279
 28   1   0   1 -.274787
 28   2   0   1 -.274787
 28   3   0   1 -.274787
 28   4   0   1 -.274787
 28   5   1   1 -.274787
 29   1   0   1 -.281002
 29   2   0   1 -.281002
