      1.0000      -0.5348       0.1034      -0.8867      -0.9362      -3.4928       1.4408       0.0752      -0.5733       0.0998      -1.2814
      1.0000       0.5224       1.3623       2.6188       6.7245       0.4380       0.7939       1.5715       0.5929       0.9723       2.4602
      1.0000       1.5811       5.9067       3.0847       1.2667       2.2181      -0.0673       1.1378       1.1292       2.5664       0.8801
      1.0000      -0.4582       1.2247       0.2495      -0.8314      -1.3649      -0.9105       0.6609      -0.5714       0.8966      -1.1048
      1.0000       0.2755      -0.6766      -2.0797      -0.3865      -2.6701      -1.2395      -0.0631      -0.9953      -0.8326      -0.4468
      1.0000      -0.8932      -1.0677      -0.0254      -0.6425       1.6149       0.1127      -0.4525       0.8577      -1.4462      -0.8071
      1.0000       2.1099      -0.2611      -0.5320       2.1505       0.7155       3.7150       0.6812       0.6904      -0.2851       1.2716
      1.0000      -2.7814      -0.8185       0.2619      -0.7266       0.1180      -1.4168      -1.5032      -0.6497      -1.0444      -0.9364
      1.0000      -0.6247      -0.5343       1.5083      -0.7273       0.9348       0.7199      -0.6254       0.7076      -0.6325      -0.9375
      1.0000       0.0016      -0.2548      -1.1196       0.4600      -0.4060      -0.1077       0.5095      -0.1156      -0.2776       0.3913
      1.0000       1.6104       0.9864       0.2106       0.3121       1.9344       1.8598       1.0804       1.0331       0.7570       0.2782
      1.0000      -2.0150       8.2638       2.2619      -1.4392      -0.9222       0.2123       0.9756      -1.0205       3.0932      -2.2400
      1.0000       1.6294      -0.8696      -0.3737       0.0263       0.8442      -0.6455      -0.4488       1.6712      -1.1239       0.0261
      1.0000      -0.2771      -0.7630      -0.1511       0.0074      -1.8671      -1.0630      -0.1771      -0.2012      -0.9601       0.0074
      1.0000      -1.1322      -0.6320      -0.6329      10.5345       0.4888      -0.7869      -0.5429       0.0614      -0.7685       3.0553
      1.0000       0.2419       0.5026      -0.4907       0.3627      -1.6361      -0.6495       0.7773      -1.4498       0.4314       0.3180
      1.0000      -1.6477      -0.8390       1.3987       0.1386       0.6034       0.2012      -0.1699      -0.2146      -1.0761       0.1313
      1.0000       1.8219       0.1817       2.2359       3.0271      -1.3177       0.2361       1.2219       0.0510       0.1709       1.5785
      1.0000       1.3417       1.0346       0.0024      -0.8441      -1.5670       0.2162       0.5836      -0.3995       0.7861      -1.1259
      1.0000       0.0051      -0.1380       1.7928       0.9983       1.2979       3.1975       0.1215       1.8609      -0.1448       0.7362
      1.0000      -3.2585      -0.2527       0.4736      -0.7690      -0.0129       0.3730      -0.5036      -0.2687      -0.2751      -1.0036
      1.0000      -1.4369      -0.5573      -1.1204      -1.1408      -1.3488       0.2618      -1.3433      -0.6554      -0.6640      -1.6495
      1.0000       1.9966       8.6935       1.0047      -0.0107       1.0121       0.8198       1.9400       1.9515       3.1785      -0.0108
      1.0000       0.1426      -0.1046      -1.8828       0.4980      -1.4011      -0.4379      -1.1096      -0.4836      -0.1085       0.4189
      1.0000       2.3150       1.8814       0.3991      -0.0695      -0.1593       1.6762       1.3153       0.6250       1.2324      -0.0715
      1.0000      -0.3096      -0.2899       0.5644      -1.0083       1.7917       0.1910       0.3633      -0.2751      -0.3193      -1.4077
      1.0000      -2.2791       0.1566      -1.3090      -1.0960      -1.0682       0.3278      -0.4421      -0.8093       0.1485      -1.5663
      1.0000       1.2438       3.1602      -0.4944      -1.5447      -0.1881      -1.1371       0.4030      -1.7557       1.7533      -2.4640
      1.0000       0.6092      -0.0391       0.9709       1.7503       0.2425       1.6575       0.5327       0.6577      -0.0396       1.1073
      1.0000      -3.9578      -0.5060      -0.9335      -1.2024       0.3705      -1.7447      -1.4986      -1.2946      -0.5943      -1.7661
      1.0000       2.4713       3.4963       1.7837      -0.7588       0.2042      -0.3453       2.0521      -0.0508       1.8705      -0.9873
      1.0000       1.7551      -0.5946      -0.3492       1.2468       1.9798       0.8297      -0.0814       2.2159      -0.7156       0.8699
      1.0000       1.2818       0.1721       0.1864      -0.2492      -2.3838      -3.1107       0.5948      -1.8192       0.1624      -0.2745
      1.0000      -2.1086       3.8577      -1.8312      -0.7382      -1.8481      -3.3022       0.2382      -2.1979       1.9898      -0.9546
      1.0000       1.1110       1.8697      -0.3031      -1.6069       1.4997      -0.1716       0.4770       0.2939       1.2269      -2.5997
      1.0000       0.7304       0.5961      -1.1516      -0.8091      -0.0260       0.3939       0.3706       1.1986       0.4997      -1.0683
      1.0000       1.4992       3.2272       0.2901      -1.5563      -1.6890      -0.9174       0.7914      -1.3392       1.7772      -2.4892
