       1     127       1      55       0       9       3       0       1       2   56.50       1    7.27      41
       2     127       1      53       1       9       3       0       1       2   56.50       1    7.27      41
       3     127       1      56       2       9       3       0       1       2   56.50       1    7.27      41
       4     127       1      49       3       9       3       0       1       2   56.50       1    7.27      41
       5     127       1      57       4      10       3       0       1       2   56.50       1    7.27      41
       6     127       1     999       5     999       3       0       1       2   56.50       1    7.27      41
       7     127       1     999       6     999       3       0       1       2   56.50       1    7.27      41
       1     128       1      49       0       9       2       0       0       2   49.20       1    7.27      41
       2     128       1      55       1       9       2       0       0       2   49.20       1    7.27      41
       3     128       1      50       2      10       2       0       0       2   49.20       1    7.27      41
       4     128       1      59       3      10       2       0       0       2   49.20       1    7.27      41
       5     128       1      52       4      10       2       0       0       2   49.20       1    7.27      41
       6     128       1      50       5      10       2       0       0       2   49.20       1    7.27      41
       7     128       1     999       6     999       2       0       0       2   49.20       1    7.27      41
       1     129       1      46       0      10       2       1       1       2   45.90       1    7.27      41
       2     129       1      48       1      10       2       1       1       2   45.90       1    7.27      41
       3     129       1      45       2      10       2       1       1       2   45.90       1    7.27      41
       4     129       1      42       3      11       2       1       1       2   45.90       1    7.27      41
       5     129       1      46       4      12       2       1       1       2   45.90       1    7.27      41
       6     129       1      49       5      11       2       1       1       2   45.90       1    7.27      41
       7     129       1      46       6      11       2       1       1       2   45.90       1    7.27      41
       1     130       1      54       0       9       3       0       1       2   53.70       1    7.27      41
       2     130       1      47       1       9       3       0       1       2   53.70       1    7.27      41
       3     130       1      55       2       8       3       0       1       2   53.70       1    7.27      41
       4     130       1      60       3       9       3       0       1       2   53.70       1    7.27      41
       5     130       1      51       4      10       3       0       1       2   53.70       1    7.27      41
       6     130       1      47       5       9       3       0       1       2   53.70       1    7.27      41
       7     130       1      59       6      10       3       0       1       2   53.70       1    7.27      41
       1     131       1      53       0      11       2       0       1       3   50.02       1    7.27      41
       2     131       1      53       1      10       2       0       1       3   50.02       1    7.27      41
       3     131       1      55       2       9       2       0       1       3   50.02       1    7.27      41
       4     131       1      57       3      10       2       0       1       3   50.02       1    7.27      41
       5     131       1      51       4      10       2       0       1       3   50.02       1    7.27      41
       6     131       1      55       5      10       2       0       1       3   50.02       1    7.27      41
       7     131       1     999       6     999       2       0       1       3   50.02       1    7.27      41
       1     132       1      50       0       9       3       1       1       2  999.00       1    7.27      41
       2     132       1      43       1       8       3       1       1       2  999.00       1    7.27      41
       3     132       1      46       2       8       3       1       1       2  999.00       1    7.27      41
       4     132       1      48       3       8       3       1       1       2  999.00       1    7.27      41
       5     132       1      40       4       7       3       1       1       2  999.00       1    7.27      41
       6     132       1      49       5       9       3       1       1       2  999.00       1    7.27      41
       7     132       1      48       6       9       3       1       1       2  999.00       1    7.27      41
       1     133       1      49       0       7       2       0       1       2   40.60       1    7.27      41
       2     133       1      49       1       8       2       0       1       2   40.60       1    7.27      41
       3     133       1      56       2       7       2       0       1       2   40.60       1    7.27      41
       4     133       1      49       3       8       2       0       1       2   40.60       1    7.27      41
       5     133       1      52       4       6       2       0       1       2   40.60       1    7.27      41
       6     133       1      47       5       7       2       0       1       2   40.60       1    7.27      41
       7     133       1      48       6       7       2       0       1       2   40.60       1    7.27      41
       1     134       1      50       0       0       2       1       1       2   39.90       1    7.27      41
       2     134       1      47       1       8       2       1       1       2   39.90       1    7.27      41
       3     134       1      48       2       9       2       1       1       2   39.90       1    7.27      41
       4     134       1      52       3       8       2       1       1       2   39.90       1    7.27      41
       5     134       1      49       4      10       2       1       1       2   39.90       1    7.27      41
       6     134       1      50       5       8       2       1       1       2   39.90       1    7.27      41
       7     134       1      52       6       9       2       1       1       2   39.90       1    7.27      41
       1     135       1      52       0      10       3       0     999       2   45.70       1    7.27      41
       2     135       1      47       1       8       3       0     999       2   45.70       1    7.27      41
