1 1974 2 77 339 0.03 0.0156
2 1968 21 60 198 0.12 0.0216
3 1971 19 72 72 -0.14 0.0279
4 1972 0 11 22 1.18 0.1391
5 1972 0 11 22 0.26 0.1362
6 1969 3 129 348 -0.06 0.0106
7 1971 17 110 636 -0.02 0.0106
8 1969 24 26 99 -0.32 0.0484
9 1969 0 75 74 0.27 0.0269
10 1970 1 32 32 0.8 0.063
11 1970 0 22 22 0.54 0.0912
12 1966 0 43 38 0.18 0.0497
13 1970 1 24 24 -0.02 0.0835
14 1970 2 19 32 0.23 0.0841
15 1972 17 80 79 -0.18 0.0253
16 1970 5 72 72 -0.06 0.0279
17 1968 1 65 255 0.3 0.0193
18 1971 2 233 224 0.07 0.0088
19 1970 7 65 67 -0.07 0.0303
