    1     1     0     3    32    11     1    18   3.5
    2     1     1     4   999    13     1    18   3.5
    3     1     1     4    30     9     1    18   3.5
    4     1     1     3    29     8     1    18   3.5
    5     1     1     4    26     7     0    18   3.5
    6     1   999   999   999    10     0    18   3.5
    7     2     0     5   999    11     0    17   4.0
    8     2     0     3    22     9     1    17   4.0
    9     2     0     2    23   999     0    17   4.0
   10     2     0     4    32     9     0    17   4.0
   11     2     0     5   999    12     1    17   4.0
   12     2     1     4    36    13     0    17   4.0
   13     3     0     3    16     0     0   999   6.0
   14     3     1     3    25     8     0   999   6.0
   15     3     0     3    31    15     1   999   6.0
   16     3     0     6    27     9     1   999   6.0
   17     3     0     4    30     9     1   999   6.0
   18     3     0     3    23   999     1   999   6.0
   19     4     0     3   999    13     0    20   4.5
   20     4     1     5    26    11     0    20   4.5
   21     4     0     4    27     8     1    20   4.5
   22     4     1     4    42    10     1    20   4.5
   23     4     0     5    24     8     1    20   4.5
   24     4     0     6    37    16     0    20   4.5
   25     5     0     4    33    12     0    23   6.5
   26     5     0     4    37    13     1    23   6.5
   27     5     0     4    29   999     1    23   6.5
   28     5     0     5    32     9     1    23   6.5
   29     5     0     4    24     6     0    23   6.5
   30     5     1     3    31     6     0    23   6.5
   31     6     1     3    21     2     0   999 999.0
   32     6     1     3    29     8     0   999 999.0
   33     6     0     5   999    12     1   999 999.0
   34     6     0     5    25     9     1   999 999.0
   35     6   999   999   999    12     0   999 999.0
   36     6     1     5    36   999     1   999 999.0
   37     7     1     2    29     4     1    12   2.0
   38     7     0     4    26   999     1    12   2.0
   39     7     1     2    26     6     0    12   2.0
   40     7     0     4    26    10     1    12   2.0
   41     7     1     4    31     9     1    12   2.0
   42     7     0     4    33     8     0    12   2.0
   43     8   999   999   999     8     0    16   3.5
   44     8     0     5    26    12     0    16   3.5
   45     8     0     5    25     5     1    16   3.5
   46     8   999   999   999     9     1    16   3.5
   47     8     0     3    29     5     1    16   3.5
   48     8     0     4    27   999     0    16   3.5
   49     9     0     5    27     7     0    23   4.0
   50     9     0     5    28     9     0    23   4.0
   51     9     0     4    26     7     0    23   4.0
   52     9     0     4    29    12     1    23   4.0
   53     9     1     4    28    10     1    23   4.0
   54     9     0     5    25   999     0    23   4.0
   55    10     1     4    33     8     1    24   6.5
   56    10     1     3    27     9     0    24   6.5
   57    10     0     4    29     6     1    24   6.5
   58    10     0     4    36    14     1    24   6.5
   59    10     0     4    24   999     0    24   6.5
   60    10     0     3    22     5     1    24   6.5
   61    11     1     3    28     8     0    15   5.0
   62    11     0     6    26     7     1    15   5.0
   63    11     0     4    30    11     0    15   5.0
   64    11     0     4    28     8     1    15   5.0
   65    11     0     3    28     8     1    15   5.0
   66    11     1     3    25     5     0    15   5.0
   67    12     0     5    36    10     1    18   6.0
   68    12     0     3    32   999     1    18   6.0
   69    12     0     4    30    11     0    18   6.0
   70    12     0     7    30    12     0    18   6.0
   71    12     1     3    34     9     0    18   6.0
   72    12   999   999   999     7     1    18   6.0
   73    13     0     5    24     5     1    19   4.5
   74    13     0     4    23     2     1    19   4.5
   75    13     0     4    25    10     0    19   4.5
   76    13     1     4    27    11     0    19   4.5
   77    13     1     3    24     6     1    19   4.5
   78    13   999   999   999     8     1    19   4.5
   79    14     1     2    24     3     1    20   5.0
   80    14     0     3    30   999     1    20   5.0
   81    14     1     2    22     7     0    20   5.0
   82    14     1     4    27     8     0    20   5.0
   83    14     0     4    38    10     0    20   5.0
   84    14     1     4    30     4     1    20   5.0
   85    15     0     3    34     9     1    15   4.5
   86    15     0     5    24    13     1    15   4.5
   87    15     1     3    21     5     1    15   4.5
   88    15     0     3    33    12     1    15   4.5
   89    15     0     5    35    10     1    15   4.5
   90    15     1     1    23   999     1    15   4.5
   91    16     0     5    28     9     1    24   4.5
   92    16   999   999   999     9     1    24   4.5
   93    16     1     3    24     4     0    24   4.5
   94    16     0     5    34    12     1    24   4.5
   95    16     0     5    34     8     0    24   4.5
   96    16     1     6   999    12     0    24   4.5
   97    17     1     3    29     4     0    15   5.5
   98    17   999   999   999    11     0    15   5.5
   99    17     0     5    26    10     0    15   5.5
  100    17     0     4    33    10     1    15   5.5
  101    17     1     4    29   999     1    15   5.5
  102    17     0     6   999    12     0    15   5.5
  103    18     0     1   999    10     1    16   4.0
  104    18     1     4    22    10     0    16   4.0
  105    18     0     3    28     9     1    16   4.0
  106    18     1     4    32    13     1    16   4.0
  107    18     0     2    27    10     0    16   4.0
  108    18   999   999   999    17     1    16   4.0
  109    19     0     5    28     8     0    22   5.0
  110    19     0     4    33    13     0    22   5.0
  111    19     0     4   999     9     1    22   5.0
  112    19     0     7    26     4     0    22   5.0
  113    19     0     3    33   999     1    22   5.0
  114    19     0     4   999    11     0    22   5.0
  115    20     0     3    23     9     0    14   3.0
  116    20     1     4    22     6     0    14   3.0
  117    20     0     4    29    12     0    14   3.0
  118    20     0     4    26    15     0    14   3.0
  119    20     1     3    29    10     0    14   3.0
  120    20     0     4    24     9     0    14   3.0
  121    21     0     3    25     7     1    19   5.0
  122    21     1     4   999    17     0    19   5.0
  123    21     1     2    17     5     0    19   5.0
  124    21     0     5    35   999     0    19   5.0
  125    21     0     5    26     9     0    19   5.0
  126    21     0     3    37    10     1    19   5.0
  127    22     0     5    39    10     1   999   7.0
  128    22     0     4    31     7     1   999   7.0
  129    22     0     3    32     6     1   999   7.0
  130    22     0     6    33     9     1   999   7.0
  131    22     0     3    32     5     0   999   7.0
  132    22     0     3    31   999     1   999   7.0
  133    23     0     4    28    11     1    24 999.0
  134    23     0     4    22    10     0    24 999.0
  135    23   999   999   999    14     0    24 999.0
