    0.995543     1.615350     1.119991     0.655945    -1.380078     1.929702     2.163194
    1.074898     2.257935     2.227049     1.516275     1.080788     1.319236     1.842753
    3.737544     2.118141     1.386356     2.769532     2.811154     5.487763     2.852968
    1.551693     1.480870     0.859525     1.641374     1.331482     1.491225     2.825791
    3.239415     1.301046     1.339958     1.749547     2.589700     1.728931     1.704576
    1.800755     2.111696     1.530247     2.070513     0.711025     0.932399     0.136226
    2.941094     2.722057     2.031324     1.510241     0.896011     2.141180     2.132129
    0.060204     0.734107     0.755117     0.069621     0.057812     1.520885     2.989945
    3.950229     3.361321     2.466769     2.589101     2.557507     4.153283     3.595843
    2.839552     3.429546     1.801726     0.552931     1.806530     1.588778     2.149780
    4.112301     3.892410     3.748224     2.820985     3.450868     3.299266     4.538683
   -0.636219     2.584660     0.670636     0.596194    -0.116651    -1.678019     0.055565
    3.104405     3.525498     2.465858     0.969181     0.906578     1.520356     1.666196
    1.227545     3.154656     2.874490     1.474145     1.842123     2.464185     2.059868
    1.943123     2.006143     3.233448     3.487873     5.085806     4.859439     5.224199
    2.000489     2.981848     3.094254     3.288896     4.950862     5.226401     4.271615
    1.814649     1.167563     0.327809     1.011893     0.801359     0.630339    -1.526425
    3.735268     3.983617     4.723738     2.842537     3.577834     3.671708     4.038947
    2.265188     1.457542     1.513469     3.929076     3.466396     4.049578     3.407406
    3.877021     3.534520     4.267624     5.126423     3.520402     5.387973     4.029679
   -0.533948     0.319130    -0.776273     0.692068     2.160692     0.789296     1.986228
   -1.259164    -2.097316     0.454049     2.265355     2.111633     1.542623     1.171829
    1.840160    -0.109045     1.313016     1.572058     1.515569     3.083160     2.591670
    2.338079     2.474942     2.724887     2.482660     2.068710     2.952132     1.163419
    0.360819    -0.386996     0.068700     1.621703     1.426476     0.105123     0.289299
    1.087891     2.183963     3.630063     5.114854     7.062403     6.093227     7.712605
    0.969317     1.448562     0.477862     0.217511     0.080171     1.194790     2.625224
    2.788586     3.484528     0.561802     1.595027     2.168302     3.072939     2.773512
   -0.603949    -0.955335    -0.183295     2.156090     2.568624     1.926514     1.888641
    0.833560     2.077589     2.060921     1.827147     1.297364     0.774791     0.388593
