   1 0 12.305   0
   1 1 10.025   0
   1 2 10.221   0
   1 3  9.088   0
   1 4  7.571   0
   1 5  6.301   0
   2 0 13.422   0
   2 1 11.259   0
   2 2  9.559   0
   2 3 999.00   1
   2 4 999.00 999
   2 5 999.00 999
   3 0 11.080   0
   3 1 10.874   0
   3 2  8.057   0
   3 3  7.687   0
   3 4  5.821   0
   3 5  3.331   0
   4 0 11.628   0
   4 1 10.033   0
   4 2  9.819   0
   4 3  8.719   0
   4 4  6.106   0
   4 5  6.625   0
   5 0 12.116   0
   5 1 11.293   0
   5 2 10.889   0
   5 3  8.893   0
   5 4  7.824   0
   5 5  7.143   0
   6 0 11.964   0
   6 1 999.00   1
   6 2 999.00 999
   6 3 999.00 999
   6 4 999.00 999
   6 5 999.00 999
   7 0 10.861   0
   7 1 11.581   0
   7 2  7.642   0
   7 3  7.103   0
   7 4  5.508   0
   7 5  4.635   0
   8 0 10.811   0
   8 1  9.265   0
   8 2  9.623   0
   8 3  6.691   0
   8 4  6.616   0
   8 5  5.241   0
   9 0 11.571   0
   9 1  9.846   0
   9 2  8.233   0
   9 3  7.485   0
   9 4  7.423   0
   9 5  5.662   0
  10 0 12.597   0
  10 1 11.069   0
  10 2  8.996   0
  10 3  9.499   0
  10 4  7.216   0
  10 5  5.998   0
  11 0 12.367   0
  11 1 10.266   0
  11 2 10.073   0
  11 3  8.976   0
  11 4  9.147   0
  11 5  7.251   0
  12 0 13.391   0
  12 1 11.273   0
  12 2 10.018   0
  12 3  9.935   0
  12 4  8.609   0
  12 5  8.241   0
  13 0 12.490   0
  13 1 10.850   0
  13 2  9.215   0
  13 3  7.814   0
  13 4  7.252   0
  13 5  6.445   0
  14 0 13.239   0
  14 1 12.780   0
  14 2 12.642   0
  14 3 999.00   1
  14 4 999.00 999
  14 5 999.00 999
  15 0 12.030   0
  15 1 11.145   0
  15 2  8.345   0
  15 3  6.892   0
  15 4  6.338   0
  15 5  4.878   0
  16 0 11.694   0
  16 1 10.935   0
  16 2  9.820   0
  16 3  9.312   0
  16 4  8.393   0
  16 5  6.349   0
  17 0 11.567   0
  17 1 12.433   0
  17 2 10.690   0
  17 3  9.454   0
  17 4 999.00   1
  17 5 999.00 999
  18 0 11.991   0
  18 1 10.800   0
  18 2 10.005   0
  18 3  7.699   0
  18 4  8.303   0
  18 5  7.769   0
  19 0 12.390   0
  19 1 999.00   1
  19 2 999.00 999
  19 3 999.00 999
  19 4 999.00 999
  19 5 999.00 999
  20 0 11.577   0
  20 1 10.567   0
  20 2 12.191   0
  20 3  9.975   0
  20 4 999.00   1
  20 5 999.00 999
  21 0 12.349   0
  21 1 10.328   0
  21 2 10.332   0
  21 3  9.614   0
  21 4  7.746   0
  21 5  6.766   0
  22 0 10.527   0
  22 1 10.401   0
  22 2  9.740   0
  22 3  8.332   0
  22 4  6.830   0
  22 5 999.00   1
  23 0 11.881   0
  23 1 10.864   0
  23 2 10.330   0
  23 3  9.468   0
  23 4  8.080   0
  23 5  7.378   0
  24 0 11.678   0
  24 1 10.595   0
  24 2  8.948   0
  24 3  8.132   0
  24 4  7.265   0
  24 5  5.447   0
  25 0 11.983   0
  25 1 11.036   0
  25 2 10.408   0
  25 3  7.408   0
  25 4  7.887   0
  25 5  6.545   0
  26 0 11.622   0
  26 1 10.433   0
  26 2  8.073   0
  26 3  7.236   0
  26 4  6.078   0
  26 5  5.309   0
  27 0 11.871   0
  27 1 11.640   0
  27 2 10.362   0
  27 3 10.095   0
  27 4  9.299   0
  27 5  8.063   0
  28 0 10.685   0
  28 1 10.341   0
  28 2 10.250   0
  28 3  9.048   0
  28 4  7.148   0
  28 5  7.689   0
  29 0 12.283   0
  29 1 11.034   0
  29 2  9.771   0
  29 3  8.906   0
  29 4  7.517   0
  29 5  6.856   0
  30 0 10.512   0
  30 1 10.965   0
  30 2  9.510   0
  30 3  9.354   0
  30 4  9.225   0
  30 5  8.149   0
  31 0 13.791   0
  31 1 11.038   0
  31 2 11.701   0
  31 3 10.607   0
  31 4  9.397   0
  31 5  8.264   0
  32 0 11.657   0
  32 1 11.712   0
  32 2 10.028   0
  32 3 999.00   1
  32 4 999.00 999
  32 5 999.00 999
  33 0 11.369   0
  33 1 12.346   0
  33 2 10.264   0
  33 3  9.632   0
  33 4  9.365   0
  33 5 999.00   1
  34 0 12.261   0
  34 1 999.00   1
  34 2 999.00 999
  34 3 999.00 999
  34 4 999.00 999
  34 5 999.00 999
  35 0 11.401   0
  35 1 10.241   0
  35 2  9.797   0
  35 3 10.456   0
  35 4  7.821   0
  35 5  6.840   0
  36 0 10.001   0
  36 1  9.352   0
  36 2  9.309   0
  36 3  8.276   0
  36 4  8.209   0
  36 5  6.411   0
  37 0 12.070   0
  37 1 11.760   0
  37 2 11.528   0
  37 3  9.835   0
  37 4  8.770   0
  37 5 999.00   1
  38 0 12.036   0
  38 1 11.134   0
  38 2 10.495   0
  38 3  9.847   0
  38 4  8.427   0
  38 5  8.111   0
  39 0 12.587   0
  39 1 10.265   0
  39 2 10.421   0
  39 3  7.228   0
  39 4  6.456   0
  39 5 999.00   1
  40 0  9.747   0
  40 1 10.597   0
  40 2  8.526   0
  40 3  8.074   0
  40 4  6.477   0
  40 5  4.886   0
  41 0 12.640   0
  41 1 11.516   0
  41 2  9.065   0
  41 3  8.133   0
  41 4  8.208   0
  41 5  7.884   0
  42 0 12.068   0
  42 1 11.314   0
  42 2  9.498   0
  42 3  8.777   0
  42 4  7.123   0
  42 5  5.544   0
  43 0 11.427   0
