  1   9   5  13  23   1  30   2   0   1   4   4   3   4   3   5   2   2   2   3   3   2   1   5   5   4   6   5   5
  2  21   7  19  27   1  38 999 999   1   4   5   3   5   5   5   4   4   4   4   4   4   4   7   7   6   6   5   7
  3  10   4  20  20   0  18   1   0   1   4   5   4   2   2   3   1   1   1   2   1   1   1   3   2   5   4   1   3
  4  21   7  17 999   1  39   3   1   1   4 999   4   3   4   4   4   4   4   4   4   4   4   7   7   7   7   5   6
  5   9   6  19  30   0  25   3   1   0   6   5   6   5   3   5   2   2   2   2   2   2   2   4   5   3   6   5   2
  6  11   3  22  27   0 999   2   0   1   5   4   5   5   3   5   1   2   2   2   2   2   1   5   6   4   5   1 999
  7  20   5  26  24   0  37   3   1   1   4   3   4   5   4   4   2   2   2   2   1   2   2   6   7   7   7   4   6
  8  20   5  16  23   1 999   3   1   1   6   5   2   4   3   3   3   4   3   4   3   3   3   6   6   5   6 999   4
  9   8   3  17  13 999  33   1   0   0   3   1   2   2   3   2   1   1   1   1   1   2 999   5   6   6   5   5   6
 10   7   1  30  21   0  21   2   0   0   3   3   4   5   3   3   1   4   1   2   2   1   1   5   2   4   4   1   5
 11   8   3  20  21   0  19   2   0   1   3   4   4   5   3   2   1   3   1   1   1   1   1   2   5   3   4   1   4
 12  10   5  26  16   1  39   3   1   1   2   4   3   2   3   2   4   3   3   3   2   3   4   6   6   7   7   6   7
 13  11   2  27  16 999  18   1   0   0   1   4   3   4   1   3   1   1   1   1   1 999   1   3   5   2   4   1   3
 14  17   7  25  32   1  38   2   0   0   6   6   5   6   6   3   4   2   4   4   4   1   2   7   6   7   7   6   5
 15   9   4  14  24   0 999   2   0   0   4   3   3   4   5   5   2   3   2   3   2   1   1   2   1 999   1   1   3
 16  13   4  17  17   1  18   3   1   1   3   2   4   2   3   3   3   2   4   2   3   3   3   4   3   4   5   1   1
 17  16   5  13  25   0 999   2   0   1   5   3   5   4   4   4   2   3   1   2   2   1   1   5   6   6 999   1   4
 18   7   1  15  29   1 999   1   0   0   4   5   6   5   5   4   3   3   2   2   2   1   2   4   5   6   6   4 999
 19   9   3  29  17   0 999   1   0   1   4   3   3   1   2   4   2   1   1   1   1   1   1   4   3   2   4 999   4
 20   7   1  27  25   0 999   2   0   0   3   4   4   4   5   5   3   3   2   2   1   1   1   6   6   6   6 999   5
 21  10   4  26  24   0  29   2   0   0   3   6   4   3   4   4   2   1   1   1   1   1   2   5   6   5   6   3   4
 22  10   2  21  25   1 999   2   0   0   2   2   5   5   5   6   2   3   2   2   2   2   2 999   4   5   5   6   3
 23   7   5  17  24   1  34   3   1   0   4   4   5   5   2   4   2   3   3   3   3   3   1   6   6   6   6   3   7
 24  16   7  18  19   1  26   3   1   1   4   4   3   3   2   3   4   4   4   4   4   3   3   6   4   5   5   1   5
 25  13   3  23  16   1  33   2   0   0   3   1   3   3   3   3   3   3   2   2   3   3   2   6   5   6   6   4   6
 26  15   4  22  16   1  19   1   0   0   2   5   3   2   2   2   2   3   2   3   2   2   1   2   3   4   4   1   5
 27 999   2  14  27   0  26   2   0   1   5   4   4   4   5   5   1   3   2   1   1   2   1   5   6   4   6   1   4
 28  25   7  18  28   1  24   1   0   1   5   4   4   5   6   4   2   4   2   3   3   2   1   4   6   4   3   2   5
 29  16   4  18  21 999  32   2   0   0   1   5   5   4   2   4   2   3 999   2   2   2   1   6   7   6   6   1   6
 30   7   5  26  20   0   9   1   0   0   4   5   3   2   4   2   1   1   1   1   1   1   1   2   1   1   3   1   1
 31   8   4  20  21   1  25   1   0   0   5   3   2   5   3   3   2   3   2   1   2   3   2   4   6   5   3   3   4
 32  15   4   6 999   1  38   3   1   1   4   4   4   3 999   4   3   4   4   3   3   2   3   7   6   6   7   6   6
 33   8   1  23  23   0  36   3   1   1   4   4   3   4   4   4   1   2   1   1   1   1   1   6   7   5   6   6   6
 34   7   5  26  15   1  10   1   0   1   1   4   3   3   3   1   3   2   3   3   3   2   2   1   3   1   1   1   3
 35  16   4  19  24 999  32 999 999   0   3   3   5   4   3   6 999   4   1   2   3   2   1   7   6   6   6   1   6
 36  15   5  14 999   1  31   2   0   0 999 999 999 999 999 999   4   4   4   4   4   4   3   6   5   7   6   2   5
 37  17   6  14 999   1  37 999 999   0   4   3   4 999   4   5   3   3   3   4   3   2   2   6   7   7   6   5   6
 38  21   6  22  25   1 999   3   1   0   5   4   5   4   4   3   3   3   2   4   4   4   4   7   6   6   6 999   6
 39   8   3  14 999   1   6   1   0   0 999 999 999 999 999 999   1   2   2   4   3   2   2   1   1   1   1   1   1
